IG Name,Entries ,,Total 
julia.tstone,4,,413
v.simpson.0221,4,,
_emmaslay_,4,,
carolinnee.g,15,,
fsaenz18,5,,
moriaaaaahh,8,,
ansleybrowning,5,,
hunterrush_,8,,
laurynwedgworth,4,,
cbrand1416,2,,
laura_meehan_,3,,
mollytant,4,,
alyssa_ansley,4,,
jjordansims,10,,
c.sullivan17,2,,
maryemadden_,43,,
oliviavarnedoe,7,,
breannajoyc,10,,
abbyrgilbert,24,,
sydney.r.burnett,4,,
bailey_long_,10,,
kaya.love,11,,
jordan.darnell,23,,
sarahrhartsell,2,,
ihaskittycat,6,,
kenny_madelyn09,26,,
ke.n.ley_t,10,,
lindsaycrawford22,1,,
annag_smith,1,,
akorrapati18,26,,
marieflynn_photography ,8,,
absvine,4,,
hollmig,4,,
_matthewbray,1,,
k_riley_l,3,,
kurry_4_kris10,6,,
ciaracgle,6,,
laceyyyatkinson,3,,
mirroo13,2,,
mireillesemaan,1,,
reaganmyerss,6,,
regsmurrell,10,,
madalinetaylor,3,,
sarahg.music,6,,
jadaharrisonn,16,,
amyt1717,22,,
i_remember_cuban_sandwiches ,4,,
noahbarnett0227,1,,
schmaabby,8,,
maddiekatona,3,,
katiegagnonn,3,,
adri.cooley,6,,
vdogrulez,1,,